# Dimensions del problema

param n := 6;	# Nodes
param m := 13;	# Arcs

# Capacitats de les arestes

param capacity :=
1  3
2  3
3  2
4  4
5  4
6  4
7  1
8  2
9  3
10 3
11 1
12 2
13 Infinity;


# Matriu d'incidències nodes-arcs

param A[*,*]
:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  1  1  1  0  0  0  0  0  0   0   0   1  -1
2  0  0 -1  0  0  0  0  0  1   1   1   0   0
3  0 -1  0  1  1  0  0  0  0   0   0   0   0
4 -1  0  0  0 -1  1  1  0 -1   0   0   0   0
5  0  0  0 -1  0  0 -1  1  0  -1   0  -1   0
6  0  0  0  0  0 -1  0 -1  0   0  -1   0   1;
